#{"t_start": 1625075721.7780387, "env_id": null}
r,l,t
16.932533,65,134.015972
65.91938,643,134.259971
46.35137,643,134.259971
59.957882,595,134.795969
49.78531,595,134.795969
33.685387,675,135.319971
38.630276,675,135.319971
6.351972,315,135.376971
27.363123,315,135.376971
11.066528,311,135.661971
38.074627,311,135.661971
63.009068,567,136.584488
35.40137,567,136.584488
39.934357,244,136.973489
13.347831,244,136.973489
0.3515501,150,137.976005
17.005129,150,137.976005
35.411434,249,138.379004
15.123203,249,138.379004
46.8998,593,138.563521
49.967,593,138.563521
52.6149,495,139.19952
28.003244,495,139.19952
26.132896,486,139.338519
40.168407,486,139.338519
25.564262,70,139.427521
2.6685574,70,139.427521
20.718798,443,139.489519
40.712852,443,139.489519
19.651482,450,139.590037
42.084343,450,139.590037
15.383148,329,139.717037
33.586266,329,139.717037
40.462326,393,139.735037
16.442844,393,139.735037
32.92204,675,139.828038
37.494873,675,139.829037
42.506454,477,140.503037
24.29517,477,140.503037
33.872295,230,140.503037
13.053496,230,140.503037
8.051856,252,140.623035
26.85353,252,140.623035
44.254524,675,140.642035
36.762585,675,140.642035
29.407318,491,141.546035
46.68875,491,141.546035
12.929477,374,142.183035
26.534616,374,142.183035
35.941505,482,142.317037
17.664597,482,142.317037
14.1012745,455,142.473038
32.889614,455,142.473038
53.016582,675,142.923038
42.212563,675,142.924038
50.644,305,143.015038
17.228415,305,143.015038
57.002853,629,143.140037
24.859276,629,143.140037
38.85734,467,143.364038
24.10971,467,143.364038
31.620312,186,143.671037
9.872122,186,143.671037
31.208889,117,144.00562
8.375485,117,144.00562
46.90836,244,144.576612
13.291447,244,144.576612
32.814392,229,144.632614
8.07729,229,144.632614
74.79645,675,145.278133
43.946285,675,145.278133
28.8037,471,145.387133
55.828793,471,145.387133
65.85703,534,145.387133
35.42989,534,145.387133
-0.6450528,231,145.449133
26.178041,231,145.450133
36.61821,170,145.976132
6.263675,170,145.976132
51.629646,675,146.307132
49.125004,675,146.307132
8.083671,298,147.024699
38.23005,298,147.024699
14.005299,157,147.076698
12.964563,157,147.076698
41.781334,479,147.1707
66.74775,479,147.1707
32.76395,408,147.288698
51.44642,408,147.288698
25.323221,66,147.370699
5.826086,66,147.370699
5.5398526,355,147.438697
36.04618,355,147.438697
-0.13295738,234,148.394214
24.117264,234,148.394214
31.569925,384,148.831214
20.646568,384,148.831214
12.845819,343,150.184216
41.401424,343,150.185216
8.720909,574,150.531216
40.605026,574,150.531216
22.7278,190,151.073216
13.537391,190,151.073216
25.051805,73,151.689731
2.3611295,73,151.69073
14.696428,306,151.754729
14.20106,306,151.754729
17.73158,444,151.821728
26.65424,444,151.821728
45.913826,421,152.000728
13.301636,421,152.000728
67.93213,597,152.113731
35.6327,597,152.113731
51.52688,335,152.250728
16.088858,335,152.250728
64.227234,456,152.60673
26.835962,456,152.60673
51.12239,389,152.709729
18.64208,389,152.709729
26.106321,623,152.730728
53.176876,623,152.730728
7.6981907,278,152.80473
37.04746,278,152.80473
32.36484,654,152.990728
44.418686,654,152.990728
43.39975,273,153.05073
16.206388,273,153.05073
33.912365,290,153.232804
16.131329,290,153.232804
32.72936,139,153.364805
11.810558,139,153.364805
31.232594,675,153.598804
50.18955,675,153.598804
49.99437,675,154.593839
35.33108,675,154.593839
51.37784,623,155.150838
24.227724,623,155.150838
