#{"t_start": 1625146166.3198357, "env_id": null}
r,l,t
24.88702,247,158.868618
57.650444,586,159.184616
34.79364,586,159.184616
42.813507,466,159.400616
35.702934,466,159.400616
32.195393,378,159.828616
14.317043,378,159.828616
-3.1063235,148,160.162616
16.6554,148,160.162616
17.698742,454,160.308617
51.116337,454,160.308617
46.605225,391,160.526618
27.361137,391,160.526618
5.0647798,358,160.572616
17.452341,358,160.572616
33.88113,282,160.910616
8.986115,282,160.910616
49.34958,675,161.636616
35.557655,675,161.637616
48.28319,572,162.012616
26.881927,572,162.012616
35.87551,269,162.075616
13.942671,269,162.075616
-8.0788555,131,162.090617
16.111118,131,162.090617
42.82414,256,162.166617
15.271112,256,162.166617
24.131136,656,162.269616
38.65766,656,162.269616
43.875763,675,162.373616
31.079473,675,162.373616
44.78408,675,162.703618
27.663157,675,162.703618
46.292316,675,162.900615
45.702625,675,162.900615
6.2204947,220,163.079616
12.160981,220,163.079616
43.76097,292,163.185616
19.068733,292,163.185616
44.861805,675,163.377616
49.6513,675,163.377616
63.99743,675,163.404616
53.983585,675,163.404616
52.595673,675,163.549616
45.471634,675,163.549616
46.53182,393,164.343616
10.99039,393,164.344617
31.270933,219,164.815616
7.3713346,219,164.815616
45.408993,675,165.755616
37.877438,675,165.755616
32.75616,272,166.121615
8.155037,272,166.121615
26.63362,541,166.184615
31.274961,541,166.184615
57.812084,481,166.463132
26.280754,481,166.463132
10.861085,282,167.145647
31.644665,282,167.145647
46.05092,675,167.145647
46.61301,675,167.145647
9.98439,367,167.389648
27.37833,367,167.389648
15.1212635,473,167.389648
31.551485,473,167.389648
53.38132,675,168.133647
31.925566,675,168.133647
26.857603,675,168.318644
25.848867,675,168.318644
39.848534,675,168.702646
45.20898,675,168.702646
39.586067,404,168.814161
18.477716,404,168.814161
31.776745,581,168.814161
62.59233,581,168.814161
33.22682,675,169.124164
37.205627,675,169.124164
51.804974,485,169.387162
31.928356,485,169.387162
26.012413,68,169.834164
5.4332623,68,169.834164
33.908257,464,169.998162
21.877865,464,169.998162
38.86991,675,170.478164
28.800497,675,170.478164
-2.276485,158,170.524163
22.521452,158,170.524163
13.301483,309,170.748162
35.320316,309,170.749162
50.97277,673,170.776164
18.362198,673,170.776164
34.948387,168,171.284163
5.131217,168,171.284163
31.121708,443,171.335164
21.855137,443,171.335164
-6.2432003,156,171.661164
17.447903,156,171.661164
32.529663,308,171.720164
6.7880054,308,171.720164
48.294025,675,171.904165
67.1418,675,171.904165
51.321674,584,171.943164
33.218704,584,171.943164
16.64328,675,171.976161
38.134335,675,171.976161
6.968434,257,172.112163
29.71465,257,172.112163
66.30634,675,172.242165
39.15549,675,172.242165
31.358786,132,172.362164
0.85944337,132,172.362164
30.979061,675,172.564165
20.897816,675,172.564165
22.945896,180,173.105163
8.140293,180,173.105163
43.202625,391,173.144165
28.79101,391,173.144165
21.360548,675,173.215164
44.75919,675,173.215164
16.106562,312,173.251163
33.31618,312,173.251163
17.41144,68,173.348161
5.6660037,68,173.348161
43.79153,675,173.386164
37.1107,675,173.386164
70.042946,628,173.518163
31.510265,628,173.518163
27.882616,466,174.250163
